Month,wikimapia,OpenStreetMap
2004-01,0,2
2004-02,0,4
2004-03,0,4
2004-04,0,4
2004-05,0,4
2004-06,0,3
2004-07,0,2
2004-08,0,3
2004-09,0,3
2004-10,0,3
2004-11,0,3
2004-12,0,2
2005-01,0,3
2005-02,0,5
2005-03,0,4
2005-04,0,4
2005-05,0,3
2005-06,0,3
2005-07,0,3
2005-08,0,4
2005-09,0,3
2005-10,0,3
2005-11,0,3
2005-12,0,3
2006-01,0,3
2006-02,0,3
2006-03,0,3
2006-04,0,4
2006-05,2,4
2006-06,6,3
2006-07,43,4
2006-08,60,3
2006-09,53,4
2006-10,46,4
2006-11,47,4
2006-12,53,3
2007-01,48,3
2007-02,54,4
2007-03,53,5
2007-04,57,5
2007-05,58,5
2007-06,60,4
2007-07,72,6
2007-08,71,5
2007-09,69,8
2007-10,64,7
2007-11,65,9
2007-12,70,7
2008-01,66,7
2008-02,70,8
2008-03,71,9
2008-04,74,10
2008-05,76,13
2008-06,87,18
2008-07,93,19
2008-08,91,23
2008-09,88,17
2008-10,81,17
2008-11,79,17
2008-12,88,16
2009-01,86,18
2009-02,87,18
2009-03,85,22
2009-04,98,25
2009-05,96,26
2009-06,97,26
2009-07,100,28
2009-08,94,33
2009-09,87,33
2009-10,78,26
2009-11,79,25
2009-12,83,23
2010-01,82,27
2010-02,83,26
2010-03,83,28
2010-04,87,30
2010-05,87,31
2010-06,90,32
2010-07,94,33
2010-08,90,33
2010-09,82,29
2010-10,82,27
2010-11,80,25
2010-12,82,28
2011-01,76,27
2011-02,77,29
2011-03,77,29
2011-04,82,34
2011-05,83,33
2011-06,85,35
2011-07,88,37
2011-08,80,31
2011-09,77,28
2011-10,72,28
2011-11,71,26
2011-12,71,24
2012-01,67,31
2012-02,66,28
2012-03,65,52
2012-04,65,53
2012-05,63,42
2012-06,65,47
2012-07,65,39
2012-08,62,39
2012-09,60,37
2012-10,56,31
2012-11,54,27
2012-12,53,25
2013-01,49,29
2013-02,51,28
2013-03,51,29
2013-04,49,33
2013-05,47,39
2013-06,46,37
2013-07,47,37
2013-08,46,35
2013-09,46,31
2013-10,45,30
2013-11,45,30
2013-12,43,28
2014-01,42,34
2014-02,42,35
2014-03,44,36
2014-04,43,38
2014-05,43,39
2014-06,43,38
2014-07,42,40
2014-08,44,44
2014-09,42,36
2014-10,38,34
2014-11,36,32
2014-12,33,31
2015-01,31,32
2015-02,32,34
2015-03,33,36
2015-04,33,37
2015-05,33,40
2015-06,31,39
2015-07,30,39
2015-08,30,38
2015-09,27,36
2015-10,27,34
2015-11,25,32
2015-12,25,30
2016-01,23,32
2016-02,24,33
2016-03,22,34
2016-04,22,36
2016-05,22,37
2016-06,21,36
2016-07,21,36
2016-08,20,36
2016-09,19,34
2016-10,18,32
2016-11,17,31
2016-12,15,31
2017-01,15,33
2017-02,16,33
2017-03,16,33
2017-04,17,35
2017-05,15,35
2017-06,16,36
